,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
373,Andrew,Ellis,Virginia Polytechnic Institute and State University,Associate Professor,Andrew Ellis,Andrew Ellis,2011,Y,ASSOC,M,,,Geography,,https://geography.vt.edu/content/dam/geography_vt_edu/files/Ellis_CV_ForVTWeb.pdf,University of Delaware,1997,University of Delaware,1994,University of Delaware,1991,"Arizona State University, 1997-2011;",,,['AUTHOR_ID:35336469700']
374,Andrew,Kurdila,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Andrew J. Kurdila,Andrew Kurdila,,Y,PROF,M,,,Mechanical Engineering,http://www.me.vt.edu/people/faculty/andrew-j-kurdila/,,Georgia Instititue of Technology ,1989,"University of Texas, Austin",1985,University of Cincinnati,1983,,,,['AUTHOR_ID:26643451300']
375,Andrew,Putnam,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew J. Putnam,Andrew Putnam,2015,N,ASST,M,,Eastern Kentucky University,Music,https://music.eku.edu/people/putnam ; http://somaa-news.blogspot.com/2013/09/andrew-putnam-named-to-faculty-at.html,,University of Missouri- Kansas,,,,University of Wisconsin Madison,,Virginia Tech 2013-2015;,,,
376,Andrew,Scerri,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew J. Scerri,Andrew Scerri,2013,Y,ASSOC,M,,,Political Science,,https://drive.google.com/file/d/0BwSZF3oYTnaBN3N1U1BfNG1RUzA/preview,Royal Melbourne Institute of Technology,2007,.,,"University of Technology, Sydney",2002,,Royal Melbourne Institute of Technology 2007-2012;,,
377,Andrew,Rypel,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew L. Rypel,Andrew Rypel,2012,N,POSDOC,M,,Y,,https://sites.google.com/view/rypel-lab/people?authuser=0; https://www.linkedin.com/in/andrew-rypel-64a1759,https://independent.academia.edu/AndrewRypel/CurriculumVitae,The University of Alabama,2004-2008,Auburn University,2001-2004,St. Louis University,1997-2001,"Virginia Tech 2011-2012; University of California, Davis 2017-",Washington University in St. Louis 2010-2011; University of Mississippi 2008-2010; University of Wisconsin-Madison 2012-2017;,,['AUTHOR_ID:8930868500']
378,Andrew,Lowell,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew Lowell,Andrew Lowell,2018,Y,ASST,M,,,Chemistry,https://chem.vt.edu/people/faculty/teaching-and-research/alowell.html; https://www.linkedin.com/in/andrew-lowell-2525a68a; https://chem.vt.edu/about-us/news/2018-08-22-lowell.html,,University of Pennsylvania,2008,.,,Washington State University,2003,,"University of Michigan, 2012-2018 ; University of Pennsylvania 2008-2012;",,"['AUTHOR_ID:35083923100', 'AUTHOR_ID:57201971777']"
379,Andrew,Mackinlay,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew Mackinlay,Andrew Mackinlay,2016,Y,ASST,M,,,Finance,,https://finance.pamplin.vt.edu/content/dam/finance_pamplin_vt_edu/directory/cvs/Andrew%20MacKinlay%20-%20CV.pdf,University of Pennsylvania,2012,University of Pennsylvania,2012,St. John's College,2006,"Southern Methodist University, 2012-2016",,,['AUTHOR_ID:7003765162']
380,Andrew,Mccoy,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew P. Mccoy,Andrew Mccoy,2008,Y,PROF/ DEPT HEAD,M,,,Building Construction,,http://www.andrewpmccoy.com/bio/McCoy%20CV-May%2019.docx?attredirects=0&d=1,Virginia Tech,2008,Virginia Tech,2007,"University of Virginia; University of Virginia,",1996; 1997,,,,"['AUTHOR_ID:16679526400', 'AUTHOR_ID:57213937572']"
381,Andrew,Neilson,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew P. Neilson,Andrew Neilson,2011,Y,ASSOC,M,,North Carolina State University(2019),Food Science and Technology,,https://fbns.ncsu.edu/wp-content/uploads/2019/03/Neilson-CV.pdf,Purdue University,2009,.,,Brigham Young University,2005,"Virginia Polytechnic Institute and State University, 2011-2018; North Carolina State University 2019-"," University of Michigan Ann Arbor, 2009-2011",,['AUTHOR_ID:14830585500']
382,Andrew,Kemper,Virginia Polytechnic Institute and State University,Research Assistant Professor,Andrew R. Kemper,Andrew Kemper,,Y,ASSOC,M,,,Biomedical Engineering,https://beam.vt.edu/people/faculty/kemper.html,,Virginia Tech-Wake Forest,2010,Virginia Tech,2005,University of Tennesee ,2003,,,,"['AUTHOR_ID:14017901000', 'AUTHOR_ID:57210705427']"
383,Andrew,Becker,Virginia Polytechnic Institute and State University,Associate Professor,Andrew S. Becker,Andrew Becker,1988,Y,ASSOC,M,,,Modern and Classical Languages and Literature,,https://drive.google.com/file/d/12Uq_aba9WIn57M48EGnP5AJg73PE5kGT/preview,"University of North Carolina, Chapel Hill",1988,Cambrdige University,1988,Univeristy of Michigan; Cambridge University,1982;1984,,,,['AUTHOR_ID:36023541700']
384,Andria,Esakia,Virginia Polytechnic Institute and State University,Assistant Professor,Andria Esakia,Andria Esakia,,Y,ASST,M,,,Computer Science,http://people.cs.vt.edu/~esakia/,,Virginia Tech,2011,Virginia Tech,2014,Virginia Tech,2018,,,,['AUTHOR_ID:56441709000']
385,Anil,Vullikanti,Virginia Polytechnic Institute and State University,Associate Professor,Anil K. Vullikanti,Anil Vullikanti,2018,N,PROF,M,,University of Virginia,Computer Science,https://engineering.virginia.edu/faculty/anil-vullikanti,,Indian Institute of Science,1999,.,,Indian Institute of Science,1993,"Virginia Tech, 2005-2018;","Max-Planck Inst for Computer Science, Germany, 2001; Los Alamos National Laboratory, 2003-2005",,['AUTHOR_ID:24077196600']
386,Anthony,Cate,Virginia Polytechnic Institute and State University,Assistant Professor,Anthony Cate,Anthony Cate,2011,Y,ASST,M,,,Psychology,,https://support.psyc.vt.edu/sites/default/files/2019-04/cate_cv.pdf,Carnegie Melon University,1998-2005,,,Yale University,1991-1995,"University of Western Ontario, London, Ontario, Canada, 2005;","University of Western Ontario, London, Ontario, Canada, 2005-2006; Human Cognitive Neurophysiology Laboratory, Martinez, CA., 2006-2011",,['AUTHOR_ID:6602268605']
387,Anthony,Colaianne,Virginia Polytechnic Institute and State University,Associate Professor,Anthony J. Colaianne,Anthony Colaianne,1977,Y,ASSOC,M,,,English,,https://drive.google.com/file/d/1xLwhP-sh610SeIGW4v0nGHVC4Rj-UbLl/preview,University of Cincinnati,1977,Duquesne University,1974,Saint Vincent College,1972,,,,
388,Anthony,Harrison,Virginia Polytechnic Institute and State University,Associate Professor,Anthony K. Harrison,Anthony Harrison,2003,Y,PROF,M,,,Sociology,,https://drive.google.com/file/d/1Pf5FvO4YfDVHE6JkEp_0OskrZ6xyQpJj/preview,Syracuse University,2004,Syracuse University,1999,"University of Massachusetts , Amherst",1992,,,,['AUTHOR_ID:26322385900']
389,Anthony,Wolf,Virginia Polytechnic Institute and State University,Professor,Anthony K. Wolf,Anthony Wolf,1986,Y,PROF/ DIRECTOR,M,,,Agricultural Research and Extension Centers,https://www.linkedin.com/in/tony-k-wolf-a3b86041/,,Cornell University,1983-1985,Pennsylvania State University,1980-1981,West Virginia University,1977-2979,,,,
390,Anthony,Peguero,Virginia Polytechnic Institute and State University,Assistant Professor,Anthony Peguero,Anthony Peguero,2011,Y,ASSOC,M,,,Sociology,,https://drive.google.com/file/d/1QBsebaZw9htd1OZJJxaefF__xluOYI2X/preview,University of Miami,2006,Florida International University; Florida International University ,2001;2002,Florida International University; Florida International University ,1997;1998,"Miami University, 2006-2011;",,,['AUTHOR_ID:12240624500']
391,Anthony,Cobb,Virginia Polytechnic Institute and State University,Associate Professor,Anthony T. Cobb,Anthony Cobb,1978,Y,ASSOC,M,,,Management,https://management.pamplin.vt.edu/faculty/directory/cobb-anthony.html,,University of California at Irvine,1977,Wayne State University,1975,California State University at Northridge,1970,University of Houston at Clear Lake 1976 - 1978; ,,,['AUTHOR_ID:7006915324']
392,Antoine,Hobeika,Virginia Polytechnic Institute and State University,Professor,Antoine G. Hobeika,Antoine Hobeika,,N,.,M,,RETIRED,Civil and Environmental Engineering,https://vtnews.vt.edu/articles/2016/06/eng-hobeika-emeritus.html,,,,,,,,,,,['AUTHOR_ID:7006798476']
393,Antonio,Trani,Virginia Polytechnic Institute and State University,Professor,Antonio A. Trani,Antonio Trani,,Y,PROF,M,,,Civil and Environmental Engineering,https://www.atsl.cee.vt.edu/profiles/trani.html,,Virginia Tech,1988,Virginia Tech,1986,Emory-Riddle Aeronautical University,1984,,,,['AUTHOR_ID:7004142770']
394,Antonio,Barbalace,Virginia Polytechnic Institute and State University,Research Assistant Professor,Antonio Barbalace,Antonio Barbalace,2016,N,,M,,HUAWEI,http://www.barbalace.it/antonio/,https://www.linkedin.com/in/antonio-barbalace-172400b/,,"Università degli Studi di Padova, Padua, Italy",2008-2010,"Università degli Studi di Padova, Padua, Italy",2006-2007,"Università degli Studi di Padova, Padua, Italy",2002-2005,"Stevens Institute of Technology, 2018-2019; University of Edinburgh, 2020-present","Virginia Tech, 2011-2014",,['AUTHOR_ID:23491344500']
395,Antonius,Baudoin,Virginia Polytechnic Institute and State University,Associate Professor,Antonius B. Baudoin,Antonius Baudoin,1981,Y,ASSOC,M,,,Plant and Environmental Sciences,https://spes.vt.edu/faculty-staff/faculty/baudoin-anton.html,,"University of California, Riverside",1981,"Wageningen University, The Netherlands",1975,,,,"University of California, Riverside, 1980-1981",,['AUTHOR_ID:6701409922']
396,Anuj,Karpatne,Virginia Polytechnic Institute and State University,Assistant Professor,Anuj Karpatne,Anuj Karpatne,2018,Y,ASST,M,,,Computer Science,,,"University of Minnesota, Twin Cities",2011-2017,"Indian Institute of Technology, New Delhi, India",2006-2011,,,,"Kumar Research Group, UMN, 2017-2018",,['AUTHOR_ID:37124022100']
397,Ariel,Ahram,Virginia Polytechnic Institute and State University,Assistant Professor,Ariel I. Ahram,Ariel Ahram,2012,Y,ASSOC,M,,,Government and International Affairs,https://spia.vt.edu/people/faculty/ahram.html,https://static1.squarespace.com/static/5b84659912b13fa228af63cf/t/5c63368b4192028b943ce073/1550005899838/Ahram+CV+Feb+2019.pdf,Georgetown University,2008,Georgetown University,2006,Brandeis University,2001,"University of Oklahoma,2008-2012",,,['AUTHOR_ID:36983001700']
398,Aris,Spanos,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Aris Spanos,Aris Spanos,1988,Y,PROF,M,,,Economics,,https://econ.vt.edu/content/dam/econ_vt_edu/people/faculty/cvs/Spanos_2018_CV.pdf,London School of Economics,1977-1982,London School of Economics,1976-1977,London School of Economics,1973-1976,,"University of London, 1979-1987",,['AUTHOR_ID:8581721900']
399,Arthur,Denzau,Virginia Polytechnic Institute and State University,Professor,Arthur Denzau,Arthur Denzau,2016,N,.,M,,INDUSTRY,Economics,https://www.linkedin.com/in/arthur-t-denzau-8410aba/,,"Washington University, St. Louis",1970-1973,,,,,"Washington University,1981-1995; Claremont Graduate University, 1993-2012; Sultan Qaboos University, Oman, 2011-2015; Virginia Tech, 2015-2016;","Utah State University, 2016-2018; Economic Science Institute, 2018-2019",,['AUTHOR_ID:6506501442']
400,Arthur,Keown,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Arthur J. Keown,Arthur Keown,1974,Y,PROF/DISTINGUISHED,M,,,"Finance, Insurance and Business Law",,https://finance.pamplin.vt.edu/content/dam/finance_pamplin_vt_edu/directory/cvs/Arthur%20Keown%20-%20CV.pdf,Indiana University,1974,University of Michigan,1971,Ohio Wesleyan Univeristy,1969,"Indiana University, 1971-1974",,,['AUTHOR_ID:6603582480']
401,Arthur,Buikema,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Arthur L. Buikema,Arthur Buikema,,N,,M,,RETIRED,Ecology,https://www.biol.vt.edu/faculty/buikema/index.html,,,,,,,,,,,['AUTHOR_ID:6603823857']
402,Arthur,Ekirch,Virginia Polytechnic Institute and State University,Professor,Arthur R. Ekirch,Arthur Ekirch,1977,Y,PROF,M,,,History,,https://drive.google.com/file/d/1mtvHaHFUGZeaCZuhdpQDg7l3HzKqSxK-/preview,John Hopkins University,1978,John Hopkins University,1974,Dartmouth College,1972,,,,
403,Aureliano,Gomez,Virginia Polytechnic Institute and State University,Assistant Professor,Aureliano Bombarely Gomez,Aureliano Gomez,2014,Y,ASSOC,M,,Università degli Studi di Milano(2019),Horticulture,https://www.linkedin.com/in/aureliano-bombarely-gomez-90209a40/?originalSubdomain=it,,"University of Malaga, Spain",2002-2007,"University of Malaga, Spain",1996-2001,,,"Virginia Tech, 2014-2018","Boyce Thomson Institute, 2008-2013; Cornell University, 2012-2014;",,['AUTHOR_ID:35742929300']
404,Aurelien,Borgoltz,Virginia Polytechnic Institute and State University,Research Associate Professor,Aurelien Borgoltz,Aurelien Borgoltz,2010,Y,RS ASSOC,M,,,Aerospace and Ocean Engineering,https://www.aoe.vt.edu/people/faculty-research/aborgolt.html,,Virginia Tech,2007,,,Virginia Tech,2002,,"Virginia Tech, 2008-2010",,['AUTHOR_ID:10140213400']
405,Ayenda,Kemp,Virginia Polytechnic Institute and State University,Assistant Professor,Ayenda Kemp,Ayenda Kemp,2018,Y,ASST ,M,,,Management,https://www.linkedin.com/in/ayenda-kemp-7788b755/,,"University of Texas, Dallas",2014-2018,University of Central Florida,2011-2013,University of Central Florida,2007-2009,,,,
406,Ayman,Karim,Virginia Polytechnic Institute and State University,Associate Professor,Ayman M. Karim,Ayman Karim,2014,Y,ASSOC,M,,,Chemical Engineering,linkedin.com/in/ayman-karim-27365662/ ; https://che.vt.edu/People/Faculty/Karim.html,,University of New Mexico,2007,University of New Mexico,2003,"Ciaro University, Egypt",1996-2000,,"University of Delaware, 2007-2008; Pacific Northwest National Lab, 2008-2014",,['AUTHOR_ID:7201931224']
407,Azenegashe,Abaye,Virginia Polytechnic Institute and State University,Professor,Azenegashe O. Abaye,Azenegashe Abaye,1993,Y,ASSOC,M,,,Crop and Soil Environmental Sciences,,https://spes.vt.edu/content/dam/cses_vt_edu/people/tenure/cv/oabaye.pdf,Virginia Tech,1992,Pennsylvania State University,1986,Wilson College,1984,,,,['AUTHOR_ID:6601968723']
408,Azim,Eskandarian,Virginia Polytechnic Institute and State University,Professor,Azim Eskandarian,Azim Eskandarian,2015,Y,PROF / DEPT HEAD,M,,,Mechanical Engineering,http://www.me.vt.edu/people/faculty/azim-eskandarian/,,George Washington University,1991,Virginia Tech,1983,George Washington University,1982,"Pennsylvania State University, 1990-1992; George Washington University, 1993-2015",,,['AUTHOR_ID:7003692823']
409,Barry,Goodell,Virginia Polytechnic Institute and State University,Professor,Barry Goodell,Barry Goodell,2017,N,PROF,M,,"University of Massachusetts, Amherst",Sustainable Biomaterials,https://www.linkedin.com/in/barry-goodell-a8a46421/,,Oregon State University,1983,Oregon State University,1980,University of New Hampshire,1976,"University of Maine, 1983-2010; Virginia Tech, 2010-2017;",,,['AUTHOR_ID:7004681904']
410,Barry,O'Donnell,Virginia Polytechnic Institute and State University,Assistant Professor,Barry O'Donnell,Barry O'Donnell,,N,,M,,Retired,Management,https://www.linkedin.com/in/barry-o-donnell-1a3baa4/,,.,,Virginia Tech,1971-1972,Virginia Military Institute,1967-1971,,,,
411,Bartosz,Wojdynski,Virginia Polytechnic Institute and State University,Assistant Professor,Bartosz Wojdynski,Bartosz Wojdynski,2013,N,ASST,M,,University of Georgia,Communications,https://www.linkedin.com/in/bartosz-wojdynski-a0a90b68/,https://grady.uga.edu/wp-content/uploads/cv/cv.Wojdynski.pdf,"University of North Carolina, Chapel Hill",2008-2011,"University of North Carolina, Chapel Hill",2008,,,"Virginia Tech, 2011-2013",,,['AUTHOR_ID:44861866100']
412,Benjamin,Corl,Virginia Polytechnic Institute and State University,Associate Professor,Benjamin A. Corl,Benjamin Corl,2005,Y,ASSOC,M,,,Dairy Science,https://www.dasc.vt.edu/people/faculty/corl.html ; https://www.dropbox.com/scl/fi/xuuc3h2hhnmxegelyyeih/vtech_u.xlsx.xlsx?dl=0&rlkey=uqgrslrsq0j90mqelxfs5aar8#gid=418468313,,Cornell University,2003,.,,Virginia Tech,1997,,"North Carolina State University, 2003-2005",,['AUTHOR_ID:6602540982']
413,Benjamin,Gill,Virginia Polytechnic Institute and State University,Assistant Professor,Benjamin C. Gill,Benjamin Gill,2012,Y,ASSOC,M,,,Geosciences,,http://vtsedgeochem.org/CVs/CV%20BCG%202019.pdf,"University of California, Riverside",2009,.,,University of Missouri,2004,,"Harvard University, 2009-2012",,['AUTHOR_ID:15132002500']
414,Benjamin,Jantzen,Virginia Polytechnic Institute and State University,Assistant Professor,Benjamin C. Jantzen,Benjamin Jantzen,2011,Y,ASST,M,,,Philosophy,,https://drive.google.com/file/d/0BwSZF3oYTnaBdnhMY0I1WVR0cUk/view,Carnegie Melon,2010,Cornell University; Carnegie Melon,2003; 2006,Pennsylvania State University,1999,,,,['AUTHOR_ID:7801347290']
415,Benjamin,Dorshorst,Virginia Polytechnic Institute and State University,Assistant Professor,Benjamin Dorshorst,Benjamin Dorshorst,2016,N,.,M,,NIH All of Us Research Program,Genetics,https://allofus.nih.gov/about/who-we-are/all-us-participant-partners/ben-dorshorst-phd; https://www.apsc.vt.edu/content/dam/apsc_vt_edu/academics/graduate/grad-studies-brochure.pdf,,North Carolina State University,2009,.,,University of Wisconsin,2005,,"Uppsala Universitty, Sweden",,['AUTHOR_ID:34869518200']
